name,red,green,blue,alpha,id
void,0,0,0,255,0
wall,0,102,51,255,1
floor,191,191,181,255,2
chair,171,157,49,255,3
door,246,112,136,255,4
table,199,124,244,255,5
picture,55,169,192,255,6
cabinet,124,169,49,255,7
cushion,195,148,49,255,8
window,56,167,204,255,9
sofa,50,176,108,255,10
bed,247,115,108,255,11
curtain,53,172,164,255,12
chest_of_drawers,245,103,196,255,13
plant,58,165,221,255,14
sink,64,161,244,255,15
stairs,246,109,159,255,16
ceiling,204,0,102,255,17
toilet,51,175,129,255,18
stool,245,98,216,255,19
towel,227,132,49,255,20
mirror,54,170,182,255,21
tv_monitor,246,106,178,255,22
shower,209,141,49,255,23
column,244,92,238,255,24
bathtub,183,153,49,255,25
counter,54,171,173,255,26
fireplace,94,174,49,255,27
lighting,223,109,244,255,28
railing,143,165,49,255,29
shelving,150,144,244,255,30
blinds,49,178,69,255,31
seating,52,174,143,255,32
board_panel,53,173,154,255,33
furniture,158,161,49,255,34
appliances,247,118,59,255,35
clothes,176,135,244,255,36
objects,118,153,244,255,37
misc,51,51,51,255,38
